Grades,Gender,Subject,Class,Exam term,Student_id,First name,Last name,Email,Age,Attendance,Midterm exam,Final term exam,Total score,Family income
B+,Female,Geography,10-B,Final,1001,Brenda,Buck,watsongregory@middleton-hawkins.com,15,94%,33,20,53,"₹40,000"
B+,Female,Geography,10-B,Final,1002,Marcus,Hall,aguirrekari@rogers-kelly.com,17,90%,34,38,72,"₹80,000"
B+,Male,Science,10-B,Final,1003,Morgan,Chen,lfischer@gmail.com,16,85%,26,28,54,"₹30,000"
A,Male,Geography,10-B,Midterm,1004,Jerry,Wood,christopher04@francis-miller.com,16,95%,49,22,71,"₹70,000"
C,Female,History,10-A,Final,1005,Stefanie,Rodriguez,bernardtyler@garcia.biz,16,82%,28,41,69,"₹70,000"
B,Female,English,10-A,Final,1006,Lori,Friedman,margaret46@yahoo.com,16,85%,20,31,51,"₹70,000"
B+,Male,Science,10-B,Midterm,1007,Emily,Simpson,haydenglover@yahoo.com,15,86%,32,25,57,"₹40,000"
B+,Male,History,10-B,Midterm,1008,Kevin,Murphy,edwin81@yahoo.com,18,96%,32,32,64,"₹70,000"
A,Female,English,10-B,Midterm,1009,Melissa,Walls,raymond67@hotmail.com,13,97%,34,43,77,"₹80,000"
B+,Female,Math,10-C,Midterm,1010,Gordon,Shields,randall15@thompson.com,13,81%,46,49,95,"₹40,000"
B,Female,Geography,10-B,Midterm,1011,Stephanie,Gonzalez,mayercarol@gmail.com,14,86%,40,42,82,"₹80,000"
C,Female,Geography,10-B,Midterm,1012,Jason,Martinez,tiffanyruiz@yahoo.com,18,75%,29,45,74,"₹60,000"
C,Male,Science,10-A,Midterm,1013,Marc,Burgess,vgardner@hotmail.com,16,89%,21,39,60,"₹20,000"
A,Female,Math,10-A,Final,1014,Joshua,Johnson,anna29@hotmail.com,15,83%,46,35,81,"₹60,000"
C+,Male,Math,10-B,Midterm,1015,Paula,Cherry,teresa61@hotmail.com,13,75%,33,27,60,"₹70,000"
A,Female,Science,10-C,Midterm,1016,Joshua,Abbott,phillipslisa@gmail.com,17,84%,47,47,94,"₹40,000"
C+,Female,Math,10-C,Final,1017,Kyle,Grant,shirley93@gmail.com,13,99%,46,28,74,"₹50,000"
B,Male,Science,10-B,Midterm,1018,Chelsea,Brooks,cnelson@roy.com,13,90%,27,48,75,"₹40,000"
C,Male,Geography,10-B,Final,1019,David,Taylor,jennifermathews@taylor.com,17,91%,33,44,77,"₹80,000"
C,Female,Math,10-C,Final,1020,Cassandra,King,gaineskatrina@yahoo.com,16,80%,20,38,58,"₹80,000"
A-,Female,History,10-C,Midterm,1021,Hannah,Gill,lauren49@yahoo.com,18,85%,30,34,64,"₹50,000"
B,Female,Science,10-C,Midterm,1022,Robert,Mccullough,hlee@gmail.com,13,81%,31,42,73,"₹80,000"
B,Female,English,10-C,Midterm,1023,Samantha,Chen,thomasdarrell@kelly.com,18,90%,20,24,44,"₹20,000"
A,Female,History,10-C,Midterm,1024,Daniel,Smith,jacksonjoshua@gmail.com,14,96%,31,50,81,"₹30,000"
B,Female,Math,10-B,Midterm,1025,Adam,Carlson,solomonmelissa@arellano.info,15,76%,31,48,79,"₹40,000"
C+,Female,English,10-A,Midterm,1026,Wayne,Cruz,bsnyder@hotmail.com,18,88%,27,36,63,"₹30,000"
A-,Female,Math,10-A,Midterm,1027,Danielle,Nixon,phillipmartinez@arnold.com,18,83%,32,25,57,"₹40,000"
